VisitorUsername,SiteName,VisitSiteDate
mary.smith,Inman Park,2019-02-01
mary.smith,Inman Park,2019-02-02
mary.smith,Inman Park,2019-02-03
mary.smith,Atlanta Beltline Center,2019-02-01
mary.smith,Atlanta Beltline Center,2019-02-10
mary.smith,Historic Fourth Ward Park,2019-02-02
mary.smith,Piedmont Park,2019-02-02
visitor1,Piedmont Park,2019-02-11
visitor1,Atlanta Beltline Center,2019-02-13
visitor1,Historic Fourth Ward Park,2019-02-11
visitor1,Westview Cemetery,2019-02-06
visitor1,Inman Park,2019-02-01
visitor1,Piedmont Park,2019-02-01
visitor1,Atlanta Beltline Center,2019-02-09